family,type,standard,diameter,length_mm,name_stem,measured_max_len_mm,path_step,path_stl,path_fcstd
Bolts,Hex_Head,ISO4017,M16,50,HexHead_M16x50_ISO4017,60.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M16x50_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M16x50_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M16x50_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M16,60,HexHead_M16x60_ISO4017,70.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M16x60_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M16x60_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M16x60_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M16,70,HexHead_M16x70_ISO4017,80.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M16x70_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M16x70_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M16x70_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M16,80,HexHead_M16x80_ISO4017,90.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M16x80_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M16x80_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M16x80_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M16,100,HexHead_M16x100_ISO4017,110.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M16x100_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M16x100_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M16x100_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M16,120,HexHead_M16x120_ISO4017,130.0,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M16x120_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M16x120_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M16x120_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M20,35,HexHead_M20x35_ISO4017,47.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M20x35_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M20x35_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M20x35_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M20,40,HexHead_M20x40_ISO4017,52.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M20x40_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M20x40_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M20x40_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M20,50,HexHead_M20x50_ISO4017,62.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M20x50_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M20x50_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M20x50_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M20,60,HexHead_M20x60_ISO4017,72.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M20x60_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M20x60_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M20x60_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M20,80,HexHead_M20x80_ISO4017,92.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M20x80_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M20x80_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M20x80_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M20,100,HexHead_M20x100_ISO4017,112.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M20x100_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M20x100_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M20x100_ISO4017.FCStd
Bolts,Hex_Head,ISO4017,M20,120,HexHead_M20x120_ISO4017,132.5,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STEP\HexHead_M20x120_ISO4017.step,C:\FastenersLib\Bolts\Hex_Head\ISO4017\STL\HexHead_M20x120_ISO4017.stl,C:\FastenersLib\Bolts\Hex_Head\ISO4017\FCStd\HexHead_M20x120_ISO4017.FCStd
